Date,State/Territory,Barrels (Thousands)
8/1/2009,Oklahoma,173
8/1/2009,Pennsylvania,8
8/1/2009,South Dakota,4
8/1/2009,Tennessee,1
8/1/2009,Texas,1067
8/1/2009,U.S. Crude Oil ,5406
8/1/2009,Utah,62
8/1/2009,Virginia,0
8/1/2009,West Virginia,4
8/1/2009,Wyoming,137
9/1/2009,Alabama,19
9/1/2009,Alaska,652
9/1/2009,Arizona,0
9/1/2009,Arkansas,16
9/1/2009,California,565
9/1/2009,Colorado,83
9/1/2009,Federal Offshore Gulf of Mexico Crude Oil,1752
9/1/2009,Federal Offshore Pacific Crude Oil,61
9/1/2009,Florida,2
9/1/2009,Idaho,0
9/1/2009,Illinois,26
9/1/2009,Indiana,5
9/1/2009,Kansas,110
9/1/2009,Kentucky,10
9/1/2009,Louisiana,191
9/1/2009,Michigan,17
9/1/2009,Mississippi,63
9/1/2009,Missouri,0
9/1/2009,Montana,74
9/1/2009,Nebraska,6
9/1/2009,Nevada,1
9/1/2009,New Mexico,165
9/1/2009,New York,1
9/1/2009,North Dakota,237
9/1/2009,Ohio,13
9/1/2009,Oklahoma,184
9/1/2009,Pennsylvania,8
9/1/2009,South Dakota,4
9/1/2009,Tennessee,1
9/1/2009,Texas,1081
9/1/2009,U.S. Crude Oil ,5555
9/1/2009,Utah,61
9/1/2009,Virginia,0
9/1/2009,West Virginia,5
9/1/2009,Wyoming,141
10/1/2009,Alabama,19
10/1/2009,Alaska,659
10/1/2009,Arizona,0
10/1/2009,Arkansas,15
10/1/2009,California,560
10/1/2009,Colorado,81
10/1/2009,Federal Offshore Gulf of Mexico Crude Oil,1725
10/1/2009,Federal Offshore Pacific Crude Oil,63
10/1/2009,Florida,2
10/1/2009,Idaho,0
10/1/2009,Illinois,25
10/1/2009,Indiana,5
10/1/2009,Kansas,105
10/1/2009,Kentucky,7
10/1/2009,Louisiana,190
10/1/2009,Michigan,17
10/1/2009,Mississippi,64
10/1/2009,Missouri,0
10/1/2009,Montana,72
10/1/2009,Nebraska,6
10/1/2009,Nevada,1
10/1/2009,New Mexico,168
10/1/2009,New York,1
10/1/2009,North Dakota,239
10/1/2009,Ohio,13
10/1/2009,Oklahoma,175
10/1/2009,Pennsylvania,8
10/1/2009,South Dakota,5
10/1/2009,Tennessee,1
10/1/2009,Texas,1081
10/1/2009,U.S. Crude Oil ,5515
10/1/2009,Utah,62
10/1/2009,Virginia,0
10/1/2009,West Virginia,3
10/1/2009,Wyoming,142
11/1/2009,Alabama,20
11/1/2009,Alaska,662
11/1/2009,Arizona,0
11/1/2009,Arkansas,15
11/1/2009,California,559
11/1/2009,Colorado,85
11/1/2009,Federal Offshore Gulf of Mexico Crude Oil,1563
11/1/2009,Federal Offshore Pacific Crude Oil,62
11/1/2009,Florida,2
11/1/2009,Idaho,0
11/1/2009,Illinois,24
11/1/2009,Indiana,5
11/1/2009,Kansas,109
11/1/2009,Kentucky,5
11/1/2009,Louisiana,181
11/1/2009,Michigan,17
11/1/2009,Mississippi,65
11/1/2009,Missouri,0
11/1/2009,Montana,71
11/1/2009,Nebraska,6
11/1/2009,Nevada,1
11/1/2009,New Mexico,173
11/1/2009,New York,1
11/1/2009,North Dakota,245
11/1/2009,Ohio,13
11/1/2009,Oklahoma,169
11/1/2009,Pennsylvania,8
11/1/2009,South Dakota,5
11/1/2009,Tennessee,1
11/1/2009,Texas,1101
11/1/2009,U.S. Crude Oil ,5378
11/1/2009,Utah,61
11/1/2009,Virginia,0
11/1/2009,West Virginia,3
11/1/2009,Wyoming,145
12/1/2009,Alabama,19
12/1/2009,Alaska,655
12/1/2009,Arizona,0
12/1/2009,Arkansas,15
12/1/2009,California,551
12/1/2009,Colorado,82
12/1/2009,Federal Offshore Gulf of Mexico Crude Oil,1680
12/1/2009,Federal Offshore Pacific Crude Oil,60
12/1/2009,Florida,2
12/1/2009,Idaho,0
12/1/2009,Illinois,25
12/1/2009,Indiana,5
12/1/2009,Kansas,102
12/1/2009,Kentucky,7
12/1/2009,Louisiana,183
12/1/2009,Michigan,19
12/1/2009,Mississippi,70
12/1/2009,Missouri,0
12/1/2009,Montana,70
12/1/2009,Nebraska,6
12/1/2009,Nevada,1
12/1/2009,New Mexico,167
12/1/2009,New York,1
12/1/2009,North Dakota,241
12/1/2009,Ohio,13
12/1/2009,Oklahoma,158
12/1/2009,Pennsylvania,8
12/1/2009,South Dakota,4
12/1/2009,Tennessee,1
12/1/2009,Texas,1090
12/1/2009,U.S. Crude Oil ,5438
12/1/2009,Utah,60
12/1/2009,Virginia,0
12/1/2009,West Virginia,5
12/1/2009,Wyoming,138
1/1/2010,Alabama,18
1/1/2010,Alaska,640
1/1/2010,Arizona,0
1/1/2010,Arkansas,15
1/1/2010,California,549
1/1/2010,Colorado,86
1/1/2010,Federal Offshore Gulf of Mexico Crude Oil,1655
1/1/2010,Federal Offshore Pacific Crude Oil,61
1/1/2010,Florida,3
1/1/2010,Idaho,0
1/1/2010,Illinois,22
1/1/2010,Indiana,4
1/1/2010,Kansas,103
1/1/2010,Kentucky,11
1/1/2010,Louisiana,174
1/1/2010,Michigan,20
1/1/2010,Mississippi,67
1/1/2010,Missouri,0
1/1/2010,Montana,68
1/1/2010,Nebraska,6
1/1/2010,Nevada,1
1/1/2010,New Mexico,170
1/1/2010,New York,1
1/1/2010,North Dakota,235
1/1/2010,Ohio,13
1/1/2010,Oklahoma,152
1/1/2010,Pennsylvania,9
1/1/2010,South Dakota,4
1/1/2010,Tennessee,1
1/1/2010,Texas,1099
1/1/2010,U.S. Crude Oil ,5390
1/1/2010,Utah,59
1/1/2010,Virginia,0
1/1/2010,West Virginia,4
1/1/2010,Wyoming,140
2/1/2010,Alabama,18
2/1/2010,Alaska,635
2/1/2010,Arizona,0
2/1/2010,Arkansas,16
2/1/2010,California,549
2/1/2010,Colorado,88
2/1/2010,Federal Offshore Gulf of Mexico Crude Oil,1711
2/1/2010,Federal Offshore Pacific Crude Oil,60
2/1/2010,Florida,4
2/1/2010,Idaho,0
2/1/2010,Illinois,26
2/1/2010,Indiana,5
2/1/2010,Kansas,108
2/1/2010,Kentucky,5
2/1/2010,Louisiana,181
2/1/2010,Michigan,20
2/1/2010,Mississippi,67
2/1/2010,Missouri,0
2/1/2010,Montana,71
2/1/2010,Nebraska,6
2/1/2010,Nevada,1
2/1/2010,New Mexico,179
2/1/2010,New York,1
2/1/2010,North Dakota,260
2/1/2010,Ohio,13
2/1/2010,Oklahoma,182
2/1/2010,Pennsylvania,9
2/1/2010,South Dakota,5
2/1/2010,Tennessee,1
2/1/2010,Texas,1121
2/1/2010,U.S. Crude Oil ,5548
2/1/2010,Utah,61
2/1/2010,Virginia,0
2/1/2010,West Virginia,4
2/1/2010,Wyoming,143
3/1/2010,Alabama,19
3/1/2010,Alaska,646
3/1/2010,Arizona,0
3/1/2010,Arkansas,16
3/1/2010,California,554
3/1/2010,Colorado,88
3/1/2010,Federal Offshore Gulf of Mexico Crude Oil,1600
3/1/2010,Federal Offshore Pacific Crude Oil,64
3/1/2010,Florida,4
3/1/2010,Idaho,0
3/1/2010,Illinois,26
3/1/2010,Indiana,5
3/1/2010,Kansas,111
3/1/2010,Kentucky,5
3/1/2010,Louisiana,185
3/1/2010,Michigan,19
3/1/2010,Mississippi,66
3/1/2010,Missouri,1
3/1/2010,Montana,70
3/1/2010,Nebraska,6
3/1/2010,Nevada,1
3/1/2010,New Mexico,180
3/1/2010,New York,1
3/1/2010,North Dakota,276
3/1/2010,Ohio,13
3/1/2010,Oklahoma,184
3/1/2010,Pennsylvania,9
3/1/2010,South Dakota,5
3/1/2010,Tennessee,1
3/1/2010,Texas,1137
3/1/2010,U.S. Crude Oil ,5506
3/1/2010,Utah,65
3/1/2010,Virginia,0
3/1/2010,West Virginia,5
3/1/2010,Wyoming,146
4/1/2010,Alabama,18
4/1/2010,Alaska,640
4/1/2010,Arizona,0
4/1/2010,Arkansas,16
4/1/2010,California,554
4/1/2010,Colorado,88
4/1/2010,Federal Offshore Gulf of Mexico Crude Oil,1481
4/1/2010,Federal Offshore Pacific Crude Oil,62
4/1/2010,Florida,4
4/1/2010,Idaho,0
4/1/2010,Illinois,27
4/1/2010,Indiana,5
4/1/2010,Kansas,114
4/1/2010,Kentucky,6
4/1/2010,Louisiana,183
4/1/2010,Michigan,18
4/1/2010,Mississippi,65
4/1/2010,Missouri,1
4/1/2010,Montana,69
4/1/2010,Nebraska,6
4/1/2010,Nevada,1
4/1/2010,New Mexico,175
4/1/2010,New York,1
